plant_id,genus,species,gbif_key,synonyms,family_id
1,Pulicaria,undulata,7222802,Francoeuria crispa,423
2,Schefflera,kerchoveiana,3037952,Dizygotheca kerchoveana,441
3,Atropa,belladonna,3802655,,388
4,Calystegia,sepium,2928441,Calystegia sepium (L.) R.Br.,385
5,Withania,frutescens,3801152,,388
6,Withania,somnifera,2928840,,388
7,Albizia,grandibracteata,2972995,,193
8,Ajuga,iva,7307171,Ajuga pseudoiva,396
9,Neorautanenia,mitis,2971170,,193
10,Asparagus,horridus,2768695,,64
11,Agrimonia,pilosa,3002003,,204
12,Wurfbainia,longiligularis,10748345,Amomum longiligulare,93
13,Wurfbainia,villosa,11082522,Amomum villosum,93
14,Amomum,xanthioides,8093158,,93
15,Phyllolobium,chinense,2938179,Astragalus complanatus,193
16,Cirsium,arvense,4274470,Breea segeta,423
17,Cirsium,arvense,3113414,Cirsium setosum,423
18,Cornus,officinalis,7161076,,342
19,Crocus,sativus,2747430,,72
20,Ekebergia,capensis,3851310,,255
21,Embelia,schimperi,3719794,,362
22,Isatis,tinctoria,5374118,,273
23,Nelumbo,nucifera,2882449,,119
24,Orostachys,fimbriata,7334770,,132
25,Orostachys,japonica,7334756,Orostachys japonicus,132
26,Persicaria,tinctoria,4032517,,333
27,Sinopodophyllum,hexandrum,3981186,,112
28,Tussilago,farfara,3149879,,423
29,Schefflera,arboricola,8322892,,441
30,Hypericum,japonicum,7948012,,170
31,Aconitum,nevadense,8342940,,118
32,Alseodaphne,paludosa,4182219,Alseodaphne corneri,25
33,Visnaga,daucoides,5371753,Ammi visnaga,439
34,Annona,salzmannii,5407088,Annona impressivenia,15
35,Bersama,yangambiensis,3845320,,226
36,Boscia,salicifolia,5602398,,275
37,Castanopsis,sclerophylla,5333066,,209
38,Colchicum,laetum,2739818,,55
39,Cordylanthus,kingii,5414568,,403
40,Crataegus,laevigata,8252683,,204
41,Croton,cascarilloides,3057960,Croton cumingii,166
42,Disynaphia,halimifolia,3142344,,423
43,Uraria,picta,2956572,Doodia picta,193
44,Eragrostis,viscosa,2705441,,102
45,Forsteronia,refracta,7316893,,376
46,Fridericia,chica,7669080,,391
47,Grewia,mollis,4261595,,265
48,Heterotheca,grandiflora,5401996,,423
49,Hovenia,acerba,7273758,,203
50,Inula,britannica,7502456,,423
51,Juglans,nigra,3054357,,210
52,Kaempferia,marginata,7466313,,93
53,Kaunia,saltensis,3140614,,423
54,Mangifera,indica,3190638,,251
55,Melia,volkensii,5597440,,255
56,Narcissus,triandrus,4928420,Narcissus concolor,63
57,Nauclea,officinalis,5339131,,381
58,Caloncoba,echinata,2874147,Oncoba echinata,153
59,Oxytropis,racemosa,5361048,,193
60,Oxytropis,strobilacea,5361260,,193
61,Lindera,triloba,8041138,Parabenzoin trilobum,25
62,Pelargonium,roseum,7906295,,229
63,Pentanema,britannicum,10010617,,423
64,Phragmites,australis,5290149,,102
65,Polygonum,orientale,11042282,,333
66,Ruta,pinnata,7943360,,257
67,Salvia,blepharophylla,3883534,,396
68,Salvia,dorrii,2927059,,396
69,Sophora,flavescens,7224878,Sophora angustifolia,193
70,Stevia,polycephala,8258805,,423
71,Teucrium,depressum,3897129,,396
72,Thymus,piperella,8354272,,396
73,Trichilia,rubescens,3851456,,255
74,Wikstroemia,canescens,8324421,,270
75,Cajanus,cajan,7587087,,193
76,Camellia,japonica,3189636,,370
77,Camellia,oleifera,8307542,,370
78,Camellia,sasanqua,3189637,,370
79,Camellia,sinensis,3189635,,370
80,Cicer,arietinum,2947311,,193
81,Clusia,columnaris,7329886,,160
82,Clusia,multiflora,7330264,,160
83,Cucumis,melo,2874570,,219
84,Cucumis,sativus,2874569,,219
85,Dacryodes,hopkinsii,7946876,,253
86,Euphorbia,abyssinica,3069564,,166
87,Euphorbia,aleppica,3067011,,166
88,Euphorbia,antiquorum,3069535,,166
89,Euphorbia,boetica,3919726,,166
90,Euphorbia,oxyphylla,3065417,Euphorbia broteri,166
91,Euphorbia,caducifolia,3067866,,166
92,Euphorbia,condylocarpa,3070069,,166
93,Euphorbia,drupifera,3069665,,166
94,Euphorbia,ebracteolata,3068544,,166
95,Euphorbia,esula,8203538,,166
96,Euphorbia,esula,3064252,Euphorbia esula var. cyparissoides,166
97,Euphorbia,fischeriana,3066964,,166
98,Euphorbia,guyoniana,3068310,,166
99,Euphorbia,jolkinii,3066890,,166
100,Euphorbia,kansui,3065761,,166
101,Euphorbia,lathyris,3066965,,166
102,Euphorbia,neriifolia,3064865,,166
103,Euphorbia,nicaeensis,3065819,,166
104,Euphorbia,portulacoides,3064873,,166
105,Euphorbia,resinifera,3068445,Euphorbia resinfera,166
106,Euphorbia,retusa,3068128,,166
107,Euphorbia,royleana,3065786,,166
108,Euphorbia,sapinii,3069585,,166
110,Euphorbia,sulcata,3065910,,166
111,Euphorbia,tirucalli,3069353,,166
112,Euphorbia,trigona,3067098,,166
113,Garcinia,cymosa,7330373,,160
114,Garcinia,livingstonei,3189564,,160
115,Garcinia,myrtifolia,3189567,,160
116,Garcinia,pseudoguttifera,3713084,,160
117,Lathyrus,sativus,5356488,,193
118,Vicia,lens,3973001,Lens culinaris,193
119,Macaranga,tanarius,3074251,,166
120,Monocyclanthus,vignei,3154215,,15
121,Phytolacca,americana,3084015,,331
122,Lathyrus,oleraceus,5347846,Pisum sativum,193
123,Vigna,unguiculata,7225149,Vigna cylindrica,193
124,Vitellaria,paradoxa,2886750,,364
125,Artemisia,anomala,3121446,,423
126,Artocarpus,heterophyllus,2984565,Artocarpus integra,202
127,Canscora,alata,3840335,,379
128,Centaurium,quadrifolium,7467256,Centaurium linarifolium,379
129,Schenkia,spicata,5595243,Centaurium spicatum,379
130,Chironia,krebsii,5595784,,379
131,Eupatorium,glehnii,5402845,Eupatorium sachalinense,423
132,Garcinia,linii,3713987,,160
133,Hoppea,dichotoma,5595116,,379
134,Leptochloa,digitata,2703874,,102
135,Piper,umbellatum,3086364,,13
136,Mesembryanthemum,varians,3704283,Sceletium subvelutinum,305
137,Senecio,brasiliensis,3107780,,423
138,Tovomita,krukovii,3711378,,160
139,Ferula,vesceritensis,7569655,,439
140,Khaya,senegalensis,3190508,,255
141,Ruellia,tuberosa,5415418,,390
142,Brocchia,cinerea,5390421,,423
143,Terminalia,chebula,3189388,,231
145,Oreopanax,guatemalensis,3036590,,441
146,Artemisia,herba-alba,3120848,,423
147,Nitraria,retusa,3986936,,256
148,Tamarix,nilotica,7316455,,341
149,Tamarix,senegalensis,3613063,,341
150,Alpinia,japonica,5302050,,93
151,Apium,graveolens,5371879,,439
152,Cymbopogon,schoenanthus,2705269,,102
154,Rubus,rosifolius,8234521,,204
155,Feijoa,sellowiana,3181977,Acca sellowiana,235
156,Mukdenia,rossii,7339206,Aceriphyllum rossii,142
157,Achillea,abrotanoides,3120350,,423
158,Achillea,arabica,3120275,,423
159,Achillea,clypeolata,3120016,,423
160,Achillea,crithmifolia,8059665,,423
161,Achillea,erba-rotta,9536147,,423
162,Achillea,millefolium,3120060,,423
163,Achillea,erba-rotta,7574220,Achillea moschata,423
164,Achillea,nana,8714852,,423
165,Achillea,nobilis,3120024,,423
166,Achillea,ptarmica,3120333,,423
167,Aconitum,episcopale,7277368,,118
168,Acorus,calamus,2873769,,29
169,Acorus,gramineus,2873807,,29
170,Actinodium,cunninghamii,3177659,,235
171,Aegle,marmelos,5421195,,257
172,Aeollanthus,pubescens,3889346,,396
173,Aframomum,angustifolium,2758823,,93
174,Aframomum,melegueta,2758930,,93
