original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom
Francoeuria crispa,3095568,7222802.0,Francoeuria crispa (Forssk.) Cass.,Plantae
Dizygotheca kerchoveana,3037954,3037952.0,Dizygotheca kerchoveiana (Veitch ex W.Richards) N.Taylor,Plantae
Atropa belladonna,3802655,,Atropa belladonna L.,Plantae
Calystegia sepium (L.) R.Br.,2928441,,Calystegia sepium (L.) R.Br.,Plantae
Withania frutescens,3801152,,Withania frutescens (L.) Pauquy,Plantae
Withania somnifera,2928840,,Withania somnifera (L.) Dunal,Plantae
Albizia grandibracteata,2972995,,Albizia grandibracteata Taub.,Plantae
Ajuga pseudoiva,3886776,7307171.0,Ajuga pseudoiva Robill. & Castagne,Plantae
Neorautanenia mitis,2971170,,Neorautanenia mitis (A.Rich.) Verdc.,Plantae
Asparagus horridus,2768695,,Asparagus horridus L.,Plantae
Asparagus stipularis,2768697,2768695.0,Asparagus stipularis Forssk.,Plantae
Agrimonia pilosa,3002003,,Agrimonia pilosa Ledeb.,Plantae
Amomum longiligulare,5301623,10748345.0,Amomum longiligulare T.L.Wu,Plantae
Amomum villosum,5301710,11082522.0,Amomum villosum Lour.,Plantae
Amomum xanthioides,8093158,,Amomum xanthioides Wall.,Plantae
Astragalus complanatus,5346136,2938179.0,Astragalus complanatus R.Br. ex Bunge,Plantae
Breea segeta,7337325,4274470.0,Breea segetum (Bunge) Kitam.,Plantae
Cirsium setosum,3113426,3113414.0,Cirsium setosum (Willd.) Besser ex M.Bieb.,Plantae
Cornus officinalis,7161076,,Cornus officinalis Siebold & Zucc.,Plantae
Crocus sativus,2747430,,Crocus sativus L.,Plantae
Ekebergia capensis,3851310,,Ekebergia capensis Sparrm.,Plantae
Embelia schimperi,3719794,,Embelia schimperi Vatke,Plantae
Isatis tinctoria,5374118,,Isatis tinctoria L.,Plantae
Nelumbo nucifera,2882449,,Nelumbo nucifera Gaertn.,Plantae
Orostachys fimbriata,7334770,,Orostachys fimbriata (Turcz.) A.Berger,Plantae
Orostachys japonicus,7334756,,Orostachys japonica (Maxim.) A.Berger,Plantae
Persicaria tinctoria,4032517,,Persicaria tinctoria (Aiton) H.Gross,Plantae
Physalis alkekengi,7717,,Solanaceae,Plantae
Sinopodophyllum hexandrum,3981186,,Sinopodophyllum hexandrum (Royle) T.S.Ying,Plantae
Tussilago farfara,3149879,,Tussilago farfara L.,Plantae
Schefflera arboricola,8322892,,"Schefflera arboricola Hayata, 1916",Plantae
Hypericum japonicum,7948012,,Hypericum japonicum Thunb.,Plantae
Aconitum nevadense,8342940,,Aconitum nevadense Uechtr. ex Gáyer,Plantae
Alseodaphne corneri,4182805,4182219.0,Alseodaphne corneri Kosterm.,Plantae
Ammi visnaga,3034183,5371753.0,Ammi visnaga (L.) Lam.,Plantae
Annona impressivenia,5407089,5407088.0,Annona impressivenia Saff. ex R.E.Fr.,Plantae
Bersama yangambiensis,3845320,,Bersama yangambiensis L.Touss.,Plantae
Boscia salicifolia,5602398,,Boscia salicifolia Oliv.,Plantae
Castanopsis sclerophylla,5333066,,Castanopsis sclerophylla (Lindl. & Paxton) Schottky,Plantae
Colchicum laetum,2739818,,Colchicum laetum Steven,Plantae
Conocephalum japonicum,2688560,12226933.0,Conocephalum japonicum (Thunb.) Grolle,Plantae
Cordylanthus kingii,5414568,,Cordylanthus kingii S.Watson,Plantae
Crataegus laevigata,8252683,,Crataegus laevigata (Poir.) DC.,Plantae
Croton cumingii,3057966,3057960.0,Croton cumingii Müll.Arg.,Plantae
Disynaphia halimifolia,3142344,,Disynaphia halimifolia (DC.) R.M.King & H.Rob.,Plantae
Doodia picta,5353688,2956572.0,Doodia picta Roxb.,Plantae
Eragrostis viscosa,2705441,,Eragrostis viscosa (Retz.) Trin.,Plantae
Forsteronia refracta,7316893,,Forsteronia refracta Müll.Arg.,Plantae
Fridericia chica,7669080,,Fridericia chica (Bonpl.) L.G.Lohmann,Plantae
Grewia mollis,4261595,,Grewia mollis Juss.,Plantae
Gymnocarpium robertianum,2650841,,Gymnocarpium robertianum (Hoffm.) Newman,Plantae
Heliotropium floridum,7295319,,Heliotropium floridum (A.DC.) Clos,Plantae
Heterotheca grandiflora,5401996,,Heterotheca grandiflora Nutt.,Plantae
Hovenia acerba,7273758,,Hovenia acerba Lindl.,Plantae
Inula britannica,7502456,,"Inula britannica M.Bieb., 1808",Plantae
Juglans nigra,3054357,,Juglans nigra L.,Plantae
Kaempferia marginata,7466313,,Kaempferia marginata Carey,Plantae
Kaunia saltensis,3140614,,Kaunia saltensis (Hieron.) R.M.King & H.Rob.,Plantae
Macrozamia macdonnellii,2683589,,Macrozamia macdonnellii (F.Muell. ex Miq.) A.DC.,Plantae
Mangifera indica,3190638,,Mangifera indica L.,Plantae
Melia volkensii,5597440,,Melia volkensii Gürke,Plantae
Narcissus concolor,2858545,4928420.0,Narcissus concolor (Haw.) Link,Plantae
Nauclea officinalis,5339131,,Nauclea officinalis (Pierre ex Pit.) Merr. & Chun,Plantae
Oncoba echinata,2874148,2874147.0,Oncoba echinata Oliv.,Plantae
Oxytropis racemosa,5361048,,Oxytropis racemosa Turcz.,Plantae
Oxytropis strobilacea,5361260,,Oxytropis strobilacea Bunge,Plantae
Parabenzoin trilobum,4176847,8041138.0,Parabenzoin trilobum (Siebold & Zucc.) Nakai,Plantae
Pelargonium roseum,7906295,,Pelargonium × roseum (Andrews),Plantae
Pentanema britannicum,10010617,,"Pentanema britannicum (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.",Plantae
Phragmites australis,5290149,,Phragmites australis (Cav.) Trin. ex Steud.,Plantae
Polygonum orientale,11042282,,"Polygonum orientale R.Br., 1810",Plantae
Ruta pinnata,7943360,,Ruta pinnata L.fil.,Plantae
Salvia blepharophylla,3883534,,Salvia blepharophylla Brandegee ex Epling,Plantae
Salvia dorrii,2927059,,Salvia dorrii (Kellogg) Abrams,Plantae
Sambucus nigra,2888728,,Sambucus nigra L.,Plantae
Sophora angustifolia,2959081,7224878.0,Sophora angustifolia Siebold & Zucc.,Plantae
Stevia polycephala,8258805,,Stevia polycephala Bertol.,Plantae
Teucrium depressum,3897129,,Teucrium depressum Small,Plantae
Thymus piperella,8354272,,Thymus piperella L.,Plantae
Trichilia rubescens,3851456,,Trichilia rubescens Oliv.,Plantae
Wikstroemia canescens,8324421,,Wikstroemia canescens Wall. ex Meisn.,Plantae
Cajanus cajan,7587087,,Cajanus cajan (L.) Huth,Plantae
Camellia japonica,3189636,,Camellia japonica L.,Plantae
Camellia oleifera,8307542,,Camellia oleifera Abel.,Plantae
Camellia sasanqua,3189637,,Camellia sasanqua Thunb.,Plantae
Camellia sinensis,3189635,,Camellia sinensis (L.) Kuntze,Plantae
Cicer arietinum,2947311,,Cicer arietinum L.,Plantae
Clusia columnaris,7329886,,Clusia columnaris Engl.,Plantae
Clusia multiflora,7330264,,Clusia multiflora Kunth,Plantae
Cucumis melo,2874570,,Cucumis melo L.,Plantae
Cucumis sativus,2874569,,Cucumis sativus L.,Plantae
Dacryodes hopkinsii,7946876,,Dacryodes hopkinsii Daly,Plantae
Euphorbia abyssinica,3069564,,Euphorbia abyssinica J.F.Gmel.,Plantae
Euphorbia acrurensis,3069567,3069564.0,Euphorbia acrurensis N.E.Br.,Plantae
Euphorbia aleppica,3067011,,Euphorbia aleppica L.,Plantae
Euphorbia antiquorum,3069535,,Euphorbia antiquorum L.,Plantae
Euphorbia boetica,3919726,,Euphorbia boetica Boiss.,Plantae
Euphorbia broteri,3919636,3065417.0,Euphorbia broteri Daveau,Plantae
Euphorbia caducifolia,3067866,,Euphorbia caducifolia Haines,Plantae
Euphorbia condylocarpa,3070069,,Euphorbia condylocarpa M.Bieb.,Plantae
Euphorbia drupifera,3069665,,Euphorbia drupifera Thonn.,Plantae
Euphorbia ebracteolata,3068544,,Euphorbia ebracteolata Hayata,Plantae
Euphorbia esula,8203538,,Euphorbia esula L.,Plantae
Euphorbia esula var. cyparissoides,3064252,,Euphorbia esula var. cyparissioides Boiss.,Plantae
Euphorbia fischeriana,3066964,,Euphorbia fischeriana Steud.,Plantae
Euphorbia guyoniana,3068310,,Euphorbia guyoniana Boiss. & Reut.,Plantae
Euphorbia jolkinii,3066890,,Euphorbia jolkinii Boiss.,Plantae
Euphorbia kansui,3065761,,Euphorbia kansui S.L.Liou ex S.B.Ho,Plantae
Euphorbia lathyris,3066965,,Euphorbia lathyris L.,Plantae
Euphorbia neriifolia,3064865,,Euphorbia neriifolia L.,Plantae
Euphorbia nicaeensis,3065819,,Euphorbia nicaeensis All.,Plantae
Euphorbia oxyphylla,3065417,,Euphorbia oxyphylla Boiss.,Plantae
Euphorbia portulacoides,3064873,,Euphorbia portulacoides L.,Plantae
Euphorbia resinfera,3068445,,Euphorbia resinifera O.Berg,Plantae
Euphorbia resinifera,3068445,,Euphorbia resinifera O.Berg,Plantae
Euphorbia retusa,3068128,,Euphorbia retusa Forssk.,Plantae
Euphorbia royleana,3065786,,Euphorbia royleana Boiss.,Plantae
Euphorbia sapinii,3069585,,Euphorbia sapinii De Wild.,Plantae
Euphorbia spp.,11397237,,Euphorbia L.,Plantae
